"sr_no","transaction_scheme_name","txn_count","correct_scheme_code","notes"
"1","Kotak Multicap Fund (G)","174","",""
"2","ICICI Pru MNC Fund Reg (G)","172","",""
"3","Parag Parikh Flexi Cap Fund Reg (G)","129","",""
"4","Canara Robeco Consumer Trends Fund Reg.plan (G)","122","",""
"5","ICICI Pru Smallcap Fund Reg (G)","115","",""
"6","Tata Multi Asset Allocation Fund Reg (G)","85","",""
"7","ICICI Pru Banking and Financial Services Fund Reg (G)","81","",""
"8","ICICI Pru Regular Gold Savings Reg (G)","79","",""
"9","PGIM India Small Cap Fund Reg (G)","75","",""
"10","SBI Banking & Financial Services Fund Reg (G)","74","",""
"11","Quant Small Cap Fund (G)","73","",""
"12","Quant Multi Asset Allocation Fund (G)","72","",""
"13","SBI Large & Midcap Fund Reg (G)","72","",""
"14","ICICI Pru MidCap Fund (G)","71","",""
"15","Parag Parikh ELSS Tax Saver Fund (G)","70","",""
"16","Canara Robeco Small Cap Fund Reg (G)","69","",""
"17","UTI Flexi Cap Fund Reg (G)","65","",""
"18","ICICI Pru Focused Equity Fund Reg (G)","65","",""
"19","ICICI Pru Thematic Advantage Fund (FOF) (G)","65","",""
"20","Edelweiss Focused Fund Reg (G)","64","",""
"21","Axis Gold Fund (G)","53","",""
"22","WhiteOak Capital Multi Asset Allocation Fund Reg (G)","52","",""
"23","ICICI Pru Flexicap Fund Reg (G)","51","",""
"24","UTI Multi Asset Allocation Fund Reg (G)","46","",""
"25","ICICI Pru Innovation Fund Reg (G)","45","",""
"26","Tata Smallcap Fund Reg (G)","43","",""
"27","Union Small Cap Fund Reg (G)","42","",""
"28","ICICI Pru Multi Asset Fund (G)","42","",""
"29","SBI Focused Equity Fund Reg (G)","42","",""
"30","SBI Small Cap Fund Reg (G)","42","",""
"31","JM Small Cap Fund Reg (G)","39","",""
"32","Axis Value Fund Reg (G)","39","",""
"33","Union Value Fund (G)","38","",""
"34","Canara Robeco Large and Mid Cap Fund Reg (G)","37","",""
"35","PGIM India Midcap Fund Reg (G)","36","",""
"36","ICICI Pru Equity & Debt Fund (G)","35","",""
"37","Axis Ultra Short Duration Fund Reg (G)","34","",""
"38","ICICI Pru Technology Fund (G)","34","",""
"39","Axis Small Cap Fund Reg (G)","34","",""
"40","ICICI Pru India Opportunities Fund (G)","33","",""
"41","ICICI Pru Pharma Healthcare And Diagnostics Fund (G)","32","",""
"42","WhiteOak Capital Flexi Cap Fund (G)","29","",""
"43","Union Innovation & Opportunities Fund Reg (G)","27","",""
"44","Canara Robeco Infrastructure Fund Reg (G)","27","",""
"45","Kotak Banking & Financial Services Fund Reg (G)","27","",""
"46","ICICI Pru Multicap Fund Reg (G)","27","",""
"47","Tata Mid Cap Fund Reg (G)","24","",""
"48","Helios Flexi Cap Fund Reg (G)","24","",""
"49","Quant MidCap Fund (G)","24","",""
"50","Kotak Manufacture in India Fund Reg (G)","22","",""
"51","Axis Midcap Fund (G)","22","",""
"52","Mahindra Manulife Focused Fund Reg (G)","22","",""
"53","Kotak Smallcap Fund (G)","21","",""
"54","ICICI Pru All Seasons Bond Fund (G)","19","",""
"55","Helios Balanced Advantage Fund Reg (G)","19","",""
