"id","row_number","processing_status","investor_name","folio_no","scheme_name","txn_type","txn_date","amount","units","error_messages","match_type","match_confidence"
47700,708,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47701,709,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47702,710,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47703,711,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47704,712,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47705,713,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47706,714,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47707,715,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47708,716,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47709,717,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48174,1182,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48175,1183,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48176,1184,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48177,1185,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48178,1186,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48179,1187,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48180,1188,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48181,1189,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48182,1190,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48183,1191,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48184,1192,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48185,1193,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48685,1693,"success",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
