"id","snapshot_month_end","asset_type_code","total_invested","current_value","total_returns","return_percentage","calculation_method","created_at"
10597,"2021-01-31","MF","518000.00","705850.21","187850.21","36.26","NAV","2025-12-26 09:27:08.883278"
10596,"2020-12-31","MF","518000.00","720021.91","202021.91","39.00","NAV","2025-12-26 09:27:08.812382"
10595,"2020-11-30","MF","518000.00","679771.34","161771.34","31.23","NAV","2025-12-26 09:27:08.731808"
10594,"2020-10-31","MF","518000.00","616271.60","98271.60","18.97","NAV","2025-12-26 09:27:08.638648"
10593,"2020-09-30","MF","518000.00","610435.19","92435.19","17.84","NAV","2025-12-26 09:27:08.572956"
10592,"2020-08-31","MF","518000.00","602252.84","84252.84","16.27","NAV","2025-12-26 09:27:08.487277"
10591,"2020-07-31","MF","518000.00","577541.36","59541.36","11.49","NAV","2025-12-26 09:27:08.385928"
10590,"2020-06-30","MF","518000.00","541328.85","23328.85","4.50","NAV","2025-12-26 09:27:08.315411"
10589,"2020-05-31","MF","518000.00","510924.82","-7075.18","-1.37","NAV","2025-12-26 09:27:08.257212"
10588,"2020-04-30","MF","518000.00","510475.86","-7524.14","-1.45","NAV","2025-12-26 09:27:08.207755"
10587,"2020-03-31","MF","518000.00","459582.83","-58417.17","-11.28","NAV","2025-12-26 09:27:08.156335"
